,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
317,Riyadh,0,SA,1561272151,12,24.63,46.72,95.0,11.41
318,Livadiya,71,RU,1561272152,80,42.87,132.68,65.57,5.3
319,Kalmunai,46,LK,1561272153,36,7.42,81.82,97.25,7.99
320,San Andres,43,PH,1561272154,55,13.32,122.68,90.77,7.0
321,Kichmengskiy Gorodok,21,RU,1561272155,52,59.99,45.81,69.35,10.98
322,Tilichiki,98,RU,1561272155,66,60.47,166.1,56.03,8.12
323,Zeya,100,RU,1561272156,69,53.74,127.27,70.79,2.08
324,Zhangjiakou,100,CN,1561272157,38,40.77,114.88,76.37,6.26
325,Conde,14,BR,1561272158,98,-11.81,-37.61,68.27,3.53
326,Mendi,99,ET,1561272159,94,9.8,35.1,66.65,4.7
327,Emet,0,TR,1561272160,68,39.34,29.26,70.07,2.51
328,Yingcheng,20,CN,1561272160,43,30.93,113.57,87.8,6.71
329,Salalah,75,OM,1561272161,84,17.01,54.1,86.0,14.99
330,Mayo,90,CA,1561272162,26,63.59,-135.9,71.6,5.82
331,Faanui,94,PF,1561272163,78,-16.48,-151.75,78.53,20.62
332,Yarim,44,YE,1561272164,15,14.3,44.38,80.69,0.81
333,Namatanai,99,PG,1561272165,78,-3.66,152.44,80.51,11.48
334,Wenceslau Braz,1,BR,1561272166,98,-23.87,-49.8,60.01,1.01
335,Dubovyy Umet,0,RU,1561272167,40,52.98,50.29,86.0,6.71
336,Tautira,75,PF,1561272168,83,-17.73,-149.15,75.2,3.36
337,Never,100,RU,1561272169,73,53.98,124.16,72.23,5.28
338,Ginda,40,IN,1561272170,52,30.69,78.49,89.6,5.82
339,Ponta Grossa,0,BR,1561272171,97,-25.09,-50.16,54.23,0.45
340,Tallahassee,90,US,1561271912,83,30.44,-84.28,77.0,4.7
341,Itarema,64,BR,1561272172,90,-2.92,-39.92,71.87,5.53
342,Carballo,40,ES,1561272173,82,43.21,-8.69,64.0,10.29
343,Tingo Maria,12,PE,1561272174,83,-9.29,-76.01,32.99,3.62
344,Vysokogornyy,65,RU,1561272175,86,50.1,139.13,64.67,3.47
345,Stephenville,1,US,1561271906,83,32.22,-98.2,82.99,12.75
346,Manaus,0,BR,1561272177,94,-3.13,-59.98,78.8,3.36
347,San Jose,100,PH,1561272114,56,15.79,120.99,93.11,3.22
348,Villa Florida,0,PY,1561272179,86,-26.41,-57.13,66.11,8.57
349,Kiama,90,AU,1561272180,93,-34.67,150.86,54.0,16.11
350,Khudumelapye,0,BW,1561272181,54,-23.91,24.95,51.35,4.21
351,Henties Bay,0,NA,1561272182,74,-22.12,14.28,59.45,10.47
352,Benjamin Constant,75,BR,1561272182,100,-4.38,-70.03,73.4,1.72
353,Umkomaas,0,ZA,1561272183,87,-30.21,30.8,62.01,7.7
354,Kawalu,100,ID,1561272184,63,-7.38,108.21,77.27,5.41
355,Doha,56,QA,1561272158,44,25.29,51.53,98.6,8.05
356,Bosaso,0,SO,1561272186,39,11.28,49.18,96.8,18.34
357,Jalu,0,LY,1561272187,37,29.03,21.55,84.11,11.16
358,Aklavik,40,CA,1561272187,40,68.22,-135.01,68.0,5.82
359,Bontang,50,ID,1561272188,54,0.12,117.47,89.69,3.96
360,Pyapon,82,MM,1561272189,54,16.29,95.68,93.11,2.91
361,Gokak,75,IN,1561272190,74,16.17,74.82,80.6,5.82
362,Mandurah,75,AU,1561272191,72,-32.55,115.7,66.99,18.34
363,Provideniya,100,RU,1561272192,80,64.42,-173.23,48.47,0.65
364,Locri,75,IT,1561272193,69,38.24,16.26,81.0,5.82
365,Katangli,100,RU,1561272194,97,51.71,143.23,44.33,5.99
366,Kokhma,0,RU,1561272194,67,56.93,41.09,69.89,9.75
367,Vanavara,25,RU,1561272196,32,60.35,102.28,77.81,5.19
368,Shushenskoye,0,RU,1561272196,50,53.33,91.95,77.0,6.71
369,Yola,5,NG,1561272197,80,9.26,12.45,79.25,12.24
370,Bucerias,5,MX,1561272198,78,20.76,-105.33,80.01,5.06
